Anni Albers,Louise Bourgeois,Marli Ehrman,Dorothy Liebes,Virginia Nepodal,Marianne Strengell,,,,,,,,,,,,,,,,,,,
Alexandra Exter,,,,,,,,,,,,,,,,,,,,,,,,
Carol Blanchard,Eugenie Gershoy,Toni Hughes,,,,,,,,,,,,,,,,,,,,,,
Maria Martins,,,,,,,,,,,,,,,,,,,,,,,,
Lucienne Bloch,Dorr Bothwell,Juliet Kepes,Elizabeth Olds,,,,,,,,,,,,,,,,,,,,,
Eva Zeisel,,,,,,,,,,,,,,,,,,,,,,,,
Georgia O'Keeffe,,,,,,,,,,,,,,,,,,,,,,,,
Riva Helfond,Elizabeth Olds,,,,,,,,,,,,,,,,,,,,,,,
Minna R. Harkavy,Maria Martins,Georgia O'Keeffe,Renee Sintenis,,,,,,,,,,,,,,,,,,,,,
Katherine S. Dreier,,,,,,,,,,,,,,,,,,,,,,,,
Dorothy Liebes,,,,,,,,,,,,,,,,,,,,,,,,
Loren MacIver,Irene Rice Pereira,Honore Sharrer,,,,,,,,,,,,,,,,,,,,,,
Anni Albers,Fannie Hillsmith,Joanna Pousette-Dart,,,,,,,,,,,,,,,,,,,,,,
Maria Martins,,,,,,,,,,,,,,,,,,,,,,,,
Florine Stettheimer,,,,,,,,,,,,,,,,,,,,,,,,
Edith Heath,Florence Knoll,Marguerite Wildenhain,,,,,,,,,,,,,,,,,,,,,,
Yvonne Delattre,Ray Eames,Juliet Kepes,Virginia Nepodal,Marianne Strengell,,,,,,,,,,,,,,,,,,,,
Peggy Bacon,Dorothy Hood,Georgia O'Keeffe,Amelia Pelaez del Casal,Irene Rice Pereira,,,,,,,,,,,,,,,,,,,,
Julia Margaret Cameron,Gertrude Kaseebier,,,,,,,,,,,,,,,,,,,,,,,
Frances Felton,Dorothy F. Markle,Gertrud Natzler,Mary Rodney,Marianne Strengell,Marguerite Wildenhain,Eva Zeisel,,,,,,,,,,,,,,,,,,
Jo Mielziner,,,,,,,,,,,,,,,,,,,,,,,,
Carol Blanchard,Riva Helfond,,,,,,,,,,,,,,,,,,,,,,,
Natalia Goncharova,Fannie Hillsmith,,,,,,,,,,,,,,,,,,,,,,,
Berenice Abbott,Maya Deren,Lotte Jacobi,Consuelo Kanaga,Helen Levitt,Lisette Model,Barbara Morgan,Marion Palfi,Ylla,,,,,,,,,,,,,,,,
Peggy Bacon,Kathe Kollwitz,,,,,,,,,,,,,,,,,,,,,,,
Loren MacIver,,,,,,,,,,,,,,,,,,,,,,,,
Loren MacIver,Elizabeth Sparhawk-Jones,,,,,,,,,,,,,,,,,,,,,,,
Berenice Abbott,Julia Margaret Cameron,Imogen Cunningham,Consuelo Kanaga,Gertrude Kaseebier,Dorothea Lange,Helen Levitt,Lisette Model,Tina Modotti,,,,,,,,,,,,,,,,
Hannah Hoch,Jeannette Ducrocq Tanguy,,,,,,,,,,,,,,,,,,,,,,,
Alice Boughton,Anne W. Brigman,Gertrude Kaseebier,Eva Watson-Schutze,,,,,,,,,,,,,,,,,,,,,
Mary Callery,,,,,,,,,,,,,,,,,,,,,,,,
Lisette Model,,,,,,,,,,,,,,,,,,,,,,,,
Fannie Hillsmith,Loren MacIver,Georgia O'Keeffe,Irene Rice Pereira,Honore Sharrer,,,,,,,,,,,,,,,,,,,,
Margaret Bourke-White,Dorothea Lange,Marion Post Wolcott,,,,,,,,,,,,,,,,,,,,,,
Toni Frissell,,,,,,,,,,,,,,,,,,,,,,,,
Eszter Haraszty,,,,,,,,,,,,,,,,,,,,,,,,
Julia Margaret Cameron,,,,,,,,,,,,,,,,,,,,,,,,
Vera Liskova,,,,,,,,,,,,,,,,,,,,,,,,
Peggy Bacon,Louise Bourgeois,Mary Cassatt,Minna Citron,Sue Fuller,Kathe Kollwitz,Suzanne Valadon,,,,,,,,,,,,,,,,,,
Felice Casorati,,,,,,,,,,,,,,,,,,,,,,,,
Kathe Kollwitz,,,,,,,,,,,,,,,,,,,,,,,,
Aino Aalto,,,,,,,,,,,,,,,,,,,,,,,,
Anni Albers,,,,,,,,,,,,,,,,,,,,,,,,
Anni Albers,Marianne Brandt,Louise Dahl-Wolfe,Yvonne Delattre,Irene Rice Pereira,Marianne Strengell,Eva Zeisel,,,,,,,,,,,,,,,,,,
Margaret Bourke-White,Dorothea Lange,Helen Levitt,,,,,,,,,,,,,,,,,,,,,,
Katherine S. Dreier,,,,,,,,,,,,,,,,,,,,,,,,
Margaret Bourke-White,Helen Levitt,Loren MacIver,Honore Sharrer,,,,,,,,,,,,,,,,,,,,,
