source,target,Type,Weight
Patricia Johanson,Georgia O'Keeffe,Undirected,2
Eva Hesse,Georgia O'Keeffe,Undirected,1
Dorothea Rockburne,Georgia O'Keeffe,Undirected,1
Jeanne Mammen,Georgia O'Keeffe,Undirected,1
Emily Fuller,Georgia O'Keeffe,Undirected,1
Vera Ermolaeva,Georgia O'Keeffe,Undirected,1
Elena Borstein,Georgia O'Keeffe,Undirected,1
Linda Chapman,Georgia O'Keeffe,Undirected,1
Helen Torr,Georgia O'Keeffe,Undirected,2
Erika Giovanna Klien,Georgia O'Keeffe,Undirected,1
Marie Laurencin,Anna Glenny,Undirected,1
Peggy Bacon,Anna Glenny,Undirected,2
Concetta Scaravaglione,Anna Glenny,Undirected,2
Georgia O'Keeffe,Anna Glenny,Undirected,2
Berenice Abbott,Anna Glenny,Undirected,1
Mary Cassatt,Anna Glenny,Undirected,2
Gertrude Vanderbilt Whitney,Anna Glenny,Undirected,2
Anne Goldthwaite,Anna Glenny,Undirected,1
Mabel Alvarez,Anna Glenny,Undirected,1
Louisa W. Robins,Anna Glenny,Undirected,1
Florine Stettheimer,Anna Glenny,Undirected,1
Marguerite Zorach,Anna Glenny,Undirected,2
Mabel Dwight,Anna Glenny,Undirected,1
Loren MacIver,Anna Glenny,Undirected,1
Margaret Bourke-White,Anna Glenny,Undirected,1
Imogen Cunningham,Anna Glenny,Undirected,1
Laureen Ford,Anna Glenny,Undirected,1
Ada V. Gabriel,Anna Glenny,Undirected,1
Wanda Gag,Anna Glenny,Undirected,1
Minna R. Harkavy,Anna Glenny,Undirected,1
Dorothea Lange,Anna Glenny,Undirected,1
Mrs. Pare Lorentz,Anna Glenny,Undirected,1
Doris Rosenthal,Anna Glenny,Undirected,1
Frida Kahlo,Anna Glenny,Undirected,1
Elsa Schmid,Anna Glenny,Undirected,1
Gwen John,Anna Glenny,Undirected,1
Renee Sintenis,Paula Modersohn-Becker,Undirected,2
Kathe Kollwitz,Paula Modersohn-Becker,Undirected,1
Margaret Macdonald,Paula Modersohn-Becker,Undirected,1
Vija Celmins,Paula Modersohn-Becker,Undirected,1
Georgia O'Keeffe,Renee Sintenis,Undirected,3
Paula Modersohn-Becker,Renee Sintenis,Undirected,2
Mary Cassatt,Renee Sintenis,Undirected,1
Kathe Kollwitz,Renee Sintenis,Undirected,2
Florine Stettheimer,Renee Sintenis,Undirected,1
Loren MacIver,Renee Sintenis,Undirected,2
Barbara Hepworth,Renee Sintenis,Undirected,1
Wanda Gag,Renee Sintenis,Undirected,1
Minna R. Harkavy,Renee Sintenis,Undirected,3
Frida Kahlo,Renee Sintenis,Undirected,1
Irene Rice Pereira,Renee Sintenis,Undirected,1
Maria Martins,Renee Sintenis,Undirected,2
Amelia Pelaez del Casal,Renee Sintenis,Undirected,1
Mary Callery,Renee Sintenis,Undirected,1
Honore Sharrer,Renee Sintenis,Undirected,1
Germaine Richier,Renee Sintenis,Undirected,1
Louise Nevelson,Renee Sintenis,Undirected,1
Lee Bontecou,Renee Sintenis,Undirected,1
Marie Laurencin,Berenice Abbott,Undirected,1
Peggy Bacon,Berenice Abbott,Undirected,2
Concetta Scaravaglione,Berenice Abbott,Undirected,3
Georgia O'Keeffe,Berenice Abbott,Undirected,3
Anna Glenny,Berenice Abbott,Undirected,1
Stella F. Simon,Berenice Abbott,Undirected,1
Mary Cassatt,Berenice Abbott,Undirected,1
Gertrude Vanderbilt Whitney,Berenice Abbott,Undirected,2
Anne Goldthwaite,Berenice Abbott,Undirected,1
Charlotte Perriand,Berenice Abbott,Undirected,1
Kathe Kollwitz,Berenice Abbott,Undirected,2
Georgina Klitgaard,Berenice Abbott,Undirected,1
Florine Stettheimer,Berenice Abbott,Undirected,2
Marguerite Zorach,Berenice Abbott,Undirected,2
Alexandra Exter,Berenice Abbott,Undirected,1
Frances Avery,Berenice Abbott,Undirected,1
Vera Baker,Berenice Abbott,Undirected,1
Lucienne Bloch,Berenice Abbott,Undirected,1
Mabel Dwight,Berenice Abbott,Undirected,2
Eugenie Gershoy,Berenice Abbott,Undirected,2
Joan Knobe,Berenice Abbott,Undirected,1
Loren MacIver,Berenice Abbott,Undirected,4
Rhoda Rich,Berenice Abbott,Undirected,1
Helen Rimland,Berenice Abbott,Undirected,1
Lena Safer,Berenice Abbott,Undirected,1
Hannah Hoch,Berenice Abbott,Undirected,1
Laure Albin-Guillot,Berenice Abbott,Undirected,1
Ilse Bing,Berenice Abbott,Undirected,3
Margaret Bourke-White,Berenice Abbott,Undirected,11
Julia Margaret Cameron,Berenice Abbott,Undirected,14
Imogen Cunningham,Berenice Abbott,Undirected,18
Louise Dahl-Wolfe,Berenice Abbott,Undirected,2
Gertrude Fuld,Berenice Abbott,Undirected,1
Florence Henri,Berenice Abbott,Undirected,2
Gertrude Kaseebier,Berenice Abbott,Undirected,11
Fay Sturtevant Lincoln,Berenice Abbott,Undirected,1
Rogi Andre (Rozsa Klein),Berenice Abbott,Undirected,2
Ylla,Berenice Abbott,Undirected,4
Laureen Ford,Berenice Abbott,Undirected,1
Ada V. Gabriel,Berenice Abbott,Undirected,1
Wanda Gag,Berenice Abbott,Undirected,1
Minna R. Harkavy,Berenice Abbott,Undirected,2
Dorothea Lange,Berenice Abbott,Undirected,16
Mrs. Pare Lorentz,Berenice Abbott,Undirected,1
Doris Rosenthal,Berenice Abbott,Undirected,1
Anni Albers,Berenice Abbott,Undirected,1
Marianne Brandt,Berenice Abbott,Undirected,1
Lily Cushing,Berenice Abbott,Undirected,1
Frida Kahlo,Berenice Abbott,Undirected,1
Ruth Bernhard,Berenice Abbott,Undirected,3
Helen Levitt,Berenice Abbott,Undirected,17
Lisette Model,Berenice Abbott,Undirected,17
Dorothy Norman,Berenice Abbott,Undirected,2
Marion Post Wolcott,Berenice Abbott,Undirected,3
Alice Boughton,Berenice Abbott,Undirected,1
Leonora Carrington,Berenice Abbott,Undirected,1
Lotte Jacobi,Berenice Abbott,Undirected,7
Chana Orloff,Berenice Abbott,Undirected,1
Elsa Schmid,Berenice Abbott,Undirected,1
Barbara Morgan,Berenice Abbott,Undirected,7
Aino Aalto,Berenice Abbott,Undirected,1
Ray Eames,Berenice Abbott,Undirected,1
Eva Zeisel,Berenice Abbott,Undirected,1
Maya Deren,Berenice Abbott,Undirected,1
Consuelo Kanaga,Berenice Abbott,Undirected,6
Marion Palfi,Berenice Abbott,Undirected,5
Tina Modotti,Berenice Abbott,Undirected,12
Lisa Larsen,Berenice Abbott,Undirected,2
Ruth Orkin,Berenice Abbott,Undirected,2
Diane Arbus,Berenice Abbott,Undirected,4
Frances Benjamin Johnston,Berenice Abbott,Undirected,3
Mary Ann Dorr,Berenice Abbott,Undirected,2
Naomi Savage,Berenice Abbott,Undirected,1
Emmy Andriesse,Berenice Abbott,Undirected,2
Caroline Hebbe-Hammarskiold,Berenice Abbott,Undirected,1
Sabine Weiss,Berenice Abbott,Undirected,2
Nell Dorr,Berenice Abbott,Undirected,4
Doris Ulmann,Berenice Abbott,Undirected,1
Carmel E. Vitullo,Berenice Abbott,Undirected,1
Sonia Delaunay-Terk,Berenice Abbott,Undirected,1
Alice Austen,Berenice Abbott,Undirected,1
Louise Nevelson,Berenice Abbott,Undirected,1
Hajime Daito,Berenice Abbott,Undirected,1
Hajime Ohigashi,Berenice Abbott,Undirected,1
Ann Zane Shanks,Berenice Abbott,Undirected,1
Naomi Siegler,Berenice Abbott,Undirected,1
Elizabeth Statler,Berenice Abbott,Undirected,1
Claudia Andujar,Berenice Abbott,Undirected,2
Ann Parker,Berenice Abbott,Undirected,2
Marisol (Marisol Escobar),Berenice Abbott,Undirected,1
Joan Mitchell,Berenice Abbott,Undirected,1
Anna Sander,Berenice Abbott,Undirected,1
Mrs. Theodore (Edith Kermit Carow) Roosevelt,Berenice Abbott,Undirected,1
Elaine Mayes,Berenice Abbott,Undirected,1
Eve Sonneman,Berenice Abbott,Undirected,1
Hilla Becher,Berenice Abbott,Undirected,1
Judy Dater,Berenice Abbott,Undirected,2
Yvonne Jacquette,Berenice Abbott,Undirected,1
Margrethe Mather,Berenice Abbott,Undirected,2
Rosalind Fox Solomon,Berenice Abbott,Undirected,3
Joan Lyons,Berenice Abbott,Undirected,1
Abigail Perlmutter,Berenice Abbott,Undirected,1
Lucia Radochonska,Berenice Abbott,Undirected,1
Melissa Shook,Berenice Abbott,Undirected,1
Sylvia Plimack Mangold,Berenice Abbott,Undirected,1
Jennifer Bartlett,Berenice Abbott,Undirected,1
Laurie Anderson,Berenice Abbott,Undirected,1
Jeanne Mammen,Berenice Abbott,Undirected,1
Susan Rothenberg,Berenice Abbott,Undirected,1
Linda Connor,Berenice Abbott,Undirected,1
Jan Groover,Berenice Abbott,Undirected,4
Jackie Ferrara,Berenice Abbott,Undirected,1
Colleen Frances Kenyon,Berenice Abbott,Undirected,2
Vera Ermolaeva,Berenice Abbott,Undirected,1
Helen Torr,Berenice Abbott,Undirected,1
Erika Giovanna Klien,Berenice Abbott,Undirected,1
